location_id,building_or_room_name,book,chapter,evidence_type,paraphrased_evidence,what_this_proves,confidence,related_locations,contradictions_or_open_questions
UNIVERSITY_ADMISSIONS,University admissions process / campus scale,WMF,3,scale / access / circulation,"Kvothe says the University now hosts over a thousand students, and admissions begins each term with a lottery followed by interviews over eleven days; long lines snake through the courtyard while students mill about after drawing tiles.",The University is large enough that admissions is a major logistical event requiring outdoor queueing and crowd management.,A,"HOUSE_OF_WIND, PENNANT_SQUARE",Exact student count beyond “over a thousand” not given.
HOUSE_OF_WIND,Wide cobblestone courtyard / older “House of the Wind”,WMF,89,courtyard / public gathering / historical naming,"Kvothe is whipped in a wide cobblestone courtyard that “used to be called the Quoyan Hayel,” meaning House of the Wind; hundreds of students fill it to overflowing, with others watching from windows, doorways, and rooftops.","This is a large central courtyard designed or reused for public disciplinary events and surrounded by occupied buildings with accessible windows, doors, and roofs.",A,"UNIVERSITY, ROOFTOPS, WINDOWS, DOORWAYS",Open question whether this is the same place later/elsewhere called Pennant Square or Questioning Hall in other passages.
ELodin_LECTURE_HALL,Elodin’s lecture hall,WMF,14,interior / circulation / room form,"Students wait in a hallway outside Elodin’s class, then enter a huge empty lecture hall and walk down stairs to the front row; a large slate stands at the front.","The room is tiered, entered from above or mid-level, and built like a descending lecture theatre rather than a flat classroom.",A,"HALLWAY, LECTURE_SEATS",Building not named in this passage.
ARCHIVES,Archives as internal urban system,WMF,14,internal layout / circulation,"Kvothe says the Archives is not merely a warehouse but “like a city unto itself,” with roads, winding lanes, alleys, and shortcuts.","The Archives has a large, navigable internal layout with multiple route types and nontrivial wayfinding.",A,"SCRIPTORIUM, SORTING_HALL, BUGGERY, TOMES, ACQUISITIONS_OFFICE","Metaphorical language, but tied directly to circulation and therefore useful spatial evidence."
SCRIPTORIUM,Scriptorium,WMF,14,room function / interior,The Scriptorium contains rows of desks where scrivs translate texts and copy fading books into new volumes.,The Archives includes a dedicated large workroom arranged for many seated workers.,A,"ARCHIVES, SCRIVS",No floor or adjacency given.
SORTING_HALL,Sorting Hall,WMF,14,room function / activity zone,The Sorting Hall “buzzed with activity” as scrivs sorted and reshelved books.,"There is a distinct internal processing area for returned / displaced books, separate from simple storage.",A,"ARCHIVES, SCRIVS",Exact size and placement not stated.
BUGGERY,Buggery,WMF,14,room function / access control,The Buggery is where new books are decontaminated before being added to the collection because many creatures infest books.,The Archives has a quarantine / processing zone between acquisition and shelving.,A,"ARCHIVES, ACQUISITIONS_OFFICE",No layout details beyond function.
CATALOGERS_MEW,Cataloger’s Mew,WMF,14,room function / activity zone,"Cataloger’s Mew is listed among busy scriv spaces, “full of quiet, industrious scrivs.”",The Archives contains a specialised cataloguing area rather than a single undifferentiated work floor.,B,"ARCHIVES, BINDERY, BOLTS, PALIMPSEST",Exact physical form unknown despite the name “Mew.”
BINDERY,Bindery,WMF,14,room function / activity zone,The Bindery is one of several named internal Archives work areas busy with scrivs.,Book repair / binding is housed within the Archives complex itself.,B,"ARCHIVES, CATALOGERS_MEW",No explicit architectural detail beyond being a distinct named zone.
BOLTS,Bolts,WMF,14,room function / named internal zone,“Bolts” is named as one of the active internal Archives work areas.,Confirms another distinct sub-area within the Archives.,C,ARCHIVES,Function not explained here.
PALIMPSEST,Palimpsest,WMF,14,room function / named internal zone,“Palimpsest” is named alongside other busy Archives work areas.,Confirms another distinct named sub-area inside the Archives.,C,ARCHIVES,Function not explained here.
ACQUISITIONS_OFFICE,Acquisitions office,WMF,14,office layout / environmental / map room,The acquisitions office is described as tiny and perpetually dark. One whole wall is covered by a huge lacquered map with cities and roads in great detail and marked with red grease-pencil notes showing rumours of desirable books and the last known positions of acquisition teams.,"The Archives has a specialised, probably restricted office for collection strategy, and it houses a major wall map used operationally.",A,"ARCHIVES, ACQUISITION_TEAMS",No direct statement of who can enter freely.
TOMES,Tomes,WMF,14,access / public-private distinction,"Kvothe says Tomes is like a great public garden, and any student is free to come and read the books shelved there.","Tomes is the publicly accessible reading collection of the Archives, distinct from more restricted areas.",A,"ARCHIVES, STACKS",Whether “any student” means literally all students or only students in good standing is not unpacked here.
ARCHIVES_ACCESS,Archives restriction after rooftop incident,WMF,11,access / sanctions,Lorren says Kvothe is reckless and had intended to keep him out of the Archives for “a year and a day.” Elodin gets that reduced to “Tomes only.” Lorren says his concern is “for the Archives itself.”,"Access within the Archives is tiered, and sanctions can restrict a student to Tomes while excluding deeper access.",A,"ARCHIVES, TOMES, STACKS","The passage does not restate exactly what deeper privileges were being withheld, though Stacks is the likely implication."
