id,book,page,certainty,category,description,rooms,features,notes
crydee_001,Magician,1,unknown,architecture,"At Crydee, a frontier outpost in the tranquil kingdom of the Isles an orphan boy, Pug is apprenticed to a master magician. Before long Pug's emerging powers have produced two miracles and won him a Duke's favour and a Princess's heart. But suddenly the peace in Crydee is shattered as mysterious alien invaders swarm through the kingdom. For Pug and his warrior friend, Tomas, the journey into the unknown has only just begun. Tomas will inherit a legacy of savage power from an ancient civilisati...",,,Extracted from page 1
crydee_002,Magician,4,canon,architecture,"of the things revealed to Pug on the Tower of Testing were clearly in this area. My editor wasn't sold on the idea of a sequel, then, so some of this was cut. Returning it may be self-indulgent, but as this was material I felt belonged in the original book, it has been restored.",Tower,,Extracted from page 4
crydee_003,Magician,6,canon,architecture,"sack and started north, toward the castle. As he moved among the pools, he felt the coolness in the wind turn to a deeper, wetter cold. The day began to be broken by a patchwork of shadows as the first clouds passed before the sun, bright colors fading to shades of grey. Out to sea, lightning flashed against the blackness of the clouds, and the distant boom of thunder rode over the noise of the waves. Pug picked up speed when he came to the first stretch of open beach. The storm was coming in...",,wall,Extracted from page 6
crydee_004,Magician,7,canon,architecture,"to find a lodging there, for the gates of the castle would be closed for the night, and with his tender ankle he would not attempt to climb the wall behind the stables. Besides, should he wait and slip into the keep the next day, only Megar would have words for him, but if he was caught coming over the wall, Swordmaster Fannon or Horsemaster Algon would surely have a lot worse in store for him than words. While he rested, the rain took on an insistent quality and the sky darkened as the late-...",stables,"bed, table, wall, gate",Extracted from page 7
crydee_005,Magician,8,canon,architecture,"across his body. Pug covered his face with his hands, keeping his arms to his chest, expecting to be gored. "", After a moment he realized the pig was still. Uncovering his face, he discovered the pig lying across his lower legs, a black-feathered, clothyard arrow protruding from its side. Pug looked toward the forest. A man garbed in brown leather was standing near the edge of the trees, carefully wrapping a yeoman's longbow with an oilcloth cover. Once the valuable weapon was protected from ...",,bed,Extracted from page 8
crydee_006,Magician,9,canon,architecture,"the hunters and foresters that lived in the forest of Crydee: large-shouldered, tall, and solidly built. He had dark hair and beard and the raw, weather-beaten appearance of one who spends most of his time outdoors. For a few fanciful moments the boy wondered if he might be some member of an outlaw band, hiding in the heart of the forest. He gave up the notion, for no outlaw would trouble himself with an obviously penniless keep boy. Remembering the man had mentioned having a master, Pug susp...",,"table, window, bed, fireplace, wall, door",Extracted from page 9
crydee_007,Magician,10,canon,architecture,"""Yes, sir. From the castle."" ""What is your name, boy from the keep?"" ""Pug, Master Kulgan."" ""Now I remember you."" The magician absently waved his hand. ""Do not call me 'Master,' Pug-though I am rightly called a master of my arts,'' he said with a merry crinkling around his eyes. 'I am higher-born than you, it is true, but not by much. Come, there is a blanket hanging by the fire, and you are drenched. Hang your clothes to dry, then sit there."" He pointed to a bench opposite him. Pug did as he ...",,"table, bed",Extracted from page 10
crydee_008,Magician,11,canon,architecture,"Meecham, this boy is Pug, from the keep at Castle Crydee."" Meecham gave a brief nod, then returned to tending the roasting loin. Pug nodded back, though a bit late for Meecham to notice. ""I never thought to thank you for saving me from the boar."" Meecham replied, ""There's no need for thanks, boy. Had I not startled the beast, it's unlikely it would have charged you."" He left the hearth and crossed over to another part of the room, took some brown dough from a cloth-covered bucket, and started...",kitchen,table,Extracted from page 11
crydee_009,Magician,12,canon,architecture,"tattoo of rain on the roof of the cottage. The storm seemed to have slackened, and Pug doubted the magician's words. As if reading the boy's thought, Kulgan said, ""Doubt me not, Pug. This glade is protected by more than the great boles. Should you pass beyond the circle of oaks that marks the edge of my holding, you would feel the storm's fury. Meecham, how do you gauge this wind?"" Meecham put down the bread dough he was kneading and thought for a moment. ""Near as bad as the storm that beache...","tower, kitchen, cellar",wall,Extracted from page 12
crydee_010,Magician,13,canon,architecture,"and all be lost. And though of Bosania from birth, those soldiers still were loyal to Great Kesh in their service. So for her great need, they took up their arms and put on their armor and quit Bosania, taking ship to the south, to save all from destruction."" Kulgan said, ""That's enoughF"" and gently closed the cover of the book. ""You are well gifted with letters for a keep boy."" 'This book, sir, what is it?"" asked Pug, as Kulgan took it from him. ""I have never seen anything like it."" Kulgan l...",Tower,table,Extracted from page 13
