evidence_id,book,chapter,page_ref,location_scope,primary_location,secondary_location,constraint_type,constraint_statement,certainty_tier,quote_excerpt,paraphrase,negative_constraint,decision_status,notes
UMAP001,TNOTW,36 - Less Talents,pdf p. 153,campus,University town,Imre,settlement_scale,"The University sits at the heart of a town-sized settlement with wide roads, clean air, lawns, gardens, houses, and shops.",Tier 1,"""more of a town""","The built-up area around the University is orderly and service-oriented, not a dense city like Tarbean.",,source_logged,Use for campus outskirts and street width.
UMAP002,TNOTW,36 - Less Talents,pdf p. 153,campus,University campus,,building_count,The University is described as having about fifteen buildings that do not resemble each other.,Tier 1,"""about fifteen buildings""",The campus is multi-building and architecturally varied.,,source_logged,Useful for avoiding a tiny four-building campus.
UMAP003,TNOTW,36 - Less Talents,pdf p. 153,route,Imre,University,direction,"From Imre, Kvothe travels west to reach the University.",Tier 1,"""made my way west""",The University lies west of Imre.,,source_logged,High-value directional anchor.
UMAP004,TNOTW,36 - Less Talents,pdf p. 153,route,Stonebridge,Omethi River,structure,The road crosses the Omethi by an old stone bridge over two hundred feet long and wide enough for two wagons to pass.,Tier 1,"""old stone bridge""","Stonebridge is a major, ancient, wagon-wide crossing over the river canyon.",,source_logged,Strong exterior scale reference.
UMAP005,TNOTW,36 - Less Talents,pdf p. 153,route,Stonebridge,the Archives,sightline,"From the crest of Stonebridge, the Archives can be seen rising over the trees to the west.",Tier 1,"""over the trees to the west""",The Archives are visually dominant from the bridge approach.,,source_logged,Important for skyline composition.
UMAP006,TNOTW,36 - Less Talents,pdf p. 153,building,the Archives,,exterior_trait,"The Archives are featureless, grey, square, larger than stacked granaries, without windows or decoration, and with one great stone entrance.",Tier 1,"""No windows, no decorations""",The Archives should read as a severe monolithic block.,No windows; no exterior ornament; do not add multiple public entrances.,source_logged,Foundational exterior brief.
UMAP007,TNOTW,36 - Less Talents,pdf p. 153,building,the Archives,,access,Kvothe has to circle the Archives to locate the entrance.,Tier 1,"""circled around it""",The entrance is not immediately obvious from his approach side.,Do not assume the approach road faces the main entrance directly.,source_logged,Useful when choosing the door-facing elevation.
UMAP008,TNOTW,36 - Less Talents,pdf p. 153,building,the Archives,,entry_sequence,"The public entry sequence is stone doors into a small antechamber, then inner wooden doors into the main interior.",Tier 1,"""small antechamber""",The Archives have a two-stage threshold rather than a single direct opening into the reading spaces.,,source_logged,Use in floor-plan prompts.
UMAP009,TNOTW,36 - Less Talents,pdf p. 154,building,the Archives,,interior_trait,"From the antechamber, two double doors lead to TOMES and STACKS, and a smaller door behind the desk is labeled SCRIVS ONLY.",Tier 1,"""TOMES ... STACKS ... SCRIVS ONLY""","The reception zone branches into public reading, restricted stacks, and staff-only space.",,source_logged,Strong lobby layout evidence.
UMAP010,TNOTW,36 - Less Talents,pdf p. 154,route,the Archives,Hollows,direction,"From the Archives, Hollows is reached by going down and then left; it is the short building with colored windows and two big maples out front.",Tier 1,"""Down, then left""",Hollows lies near the Archives and is visually identifiable from outside.,,source_logged,Direct route clue.
UMAP011,TNOTW,36 - Less Talents,pdf p. 153,building,the Mews,,exterior_trait,Mews has a circular central hub with eight wings radiating outward like a compass rose.,Tier 1,"""circular central hub""","The Mews should be planned as a radial building, not a plain dorm block.",Do not redesign Mews as a simple rectangle.,source_logged,One of the clearest University shell descriptions.
UMAP012,TNOTW,36 - Less Talents,pdf p. 153,building,Hollows,,exterior_trait,"Hollows is simple and square, with stained glass windows depicting Teccam speaking at the mouth of his cave.",Tier 1,"""simple and square""",Hollows has a compact square form and notable stained glass.,,source_logged,Supports admissions-building identity.
UMAP013,TNOTW,36 - Less Talents,pdf p. 153,building,the Mains,,exterior_trait,Mains covers nearly an acre and a half and looks cobbled together from smaller mismatched buildings.,Tier 1,"""cobbled together""",Mains should read as accreted rather than symmetrically designed.,Do not make Mains neat or uniform.,source_logged,Primary massing clue.
UMAP014,TNOTW,38 - Sympathy in the Mains,pdf p. 169,building,the Mains,,historical_growth,"Mains is the oldest University building and has grown slowly in all directions, engulfing smaller buildings and courtyards.",Tier 1,"""grown slowly in all directions""",Mains is an accreted complex with absorbed spaces.,,source_logged,Strong justification for irregular plan.
UMAP015,TNOTW,38 - Sympathy in the Mains,pdf p. 169,building,the Mains,,circulation,"Mains has odd turns, dead ends, rambling routes, and shortcut paths through workrooms and lecture halls.",Tier 1,"""Hallways took odd turns""",Circulation in Mains is intentionally labyrinthine.,Do not make Mains internally straightforward.,source_logged,Critical for believable floor-plan prompts.
UMAP016,TNOTW,38 - Sympathy in the Mains,pdf p. 169,building,the Mains,,courtyard_access,At least one courtyard in Mains is completely isolated and can only be accessed by climbing through a window.,Tier 1,"""accessed by climbing though a window""",Mains contains sealed or awkwardly accessible internal voids.,,source_logged,High-value oddity for level design.
UMAP017,TNOTW,37 - Bright-Eyed,pdf p. 163,building,the Mews,,exterior_trait,"A second description of Mews presents it as a grey, three-story, many-windowed building with several wings radiating from a central hub.",Tier 1,"""three stories tall, many-windowed""",Mews is not only radial but also visibly windowed and multi-story.,,source_logged,Supports the compass-rose description with usable scale.
UMAP018,TNOTW,37 - Bright-Eyed,pdf p. 164,building,the Mews,,room_assignment,"Non-Arcanum bunks are on the fourth floor of the east wing, farthest from the bathing facilities on the ground floor.",Tier 1,"""fourth floor of the east wing""",The Mews has wing-specific and floor-specific housing assignments plus ground-floor baths.,,source_logged,Excellent interior zoning evidence.
UMAP019,TNOTW,41 - Friend's Blood,pdf p. 186-187,building,the Mews,,room_assignment,Arcanum students are housed in the west wing of Mews.,Tier 1,"""Arcanum students were located in the west wing""",The Mews divides student housing by status and wing.,,source_logged,Pairs with east-wing bunk evidence.
UMAP020,TNOTW,37 - Bright-Eyed,pdf p. 163,campus,the Mess,the Mews,adjacency,"The Mess is a long, low-roofed building across the lawn from the Mews.",Tier 1,"""across the lawn""",The Mess sits close to Mews with open lawn between them.,,source_logged,Useful for service-zone placement.
UMAP021,TNOTW,41 - Friend's Blood,pdf p. 187,campus,the Medica,the Archives,adjacency,Wilem says the Medica is on the other side of the Archives.,Tier 1,"""on the other side of Archives""",The Medica sits directly beyond or opposite the Archives from that courtyard approach.,,source_logged,One of the strongest campus adjacency clues.
UMAP022,TNOTW,41 - Friend's Blood,pdf p. 187,building,the Medica,,exterior_trait,"The Medica is a large, oddly shaped building, like a taller and less rambling version of Mains.",Tier 1,"""taller, less rambling version of Mains""","The Medica should feel big and irregular, but more disciplined than Mains.",,source_logged,Good shell prompt input.
UMAP023,TNOTW,44 - The Burning Glass,pdf p. 204,building,the Fishery,,program,"The Fishery contains shops for glassblowers, joiners, potters, glaziers, plus a forge and smelt-works.",Tier 1,"""shops for glassblowers""","The Fishery is an industrial complex, not a single narrow workshop.",,source_logged,Defines major functional zones.
UMAP024,TNOTW,44 - The Burning Glass,pdf p. 204,building,the Artificery,the Fishery,naming,"Kilvin's workshop is in the Artificery, more commonly called the Fishery.",Tier 1,"""Artificery or ... the Fishery""",The books treat Artificery and Fishery as the same larger location or two names for the same complex.,,source_logged,Keep both names linked in prompts.
UMAP025,TNOTW,44 - The Burning Glass,pdf p. 204,room,Kilvin's workshop,the Fishery,interior_trait,Kilvin's workshop is as big as the inside of a granary and holds at least two dozen thick-timbered worktables.,Tier 1,"""big as the inside of a granary""","The core workshop is broad, open, and heavily bench-filled.",,source_logged,Useful for industrial-room plans.
UMAP026,TNOTW,44 - The Burning Glass,pdf p. 204,room,Kilvin's workshop,the Fishery,verticality,A narrow wrought-iron stair leads to slim iron walkways about twenty-five feet above the floor among the rafters.,Tier 1,"""twenty-five feet above the ground""",The workshop has elevated maintenance or observation walkways in the rafters.,,source_logged,Important vertical circulation clue.
UMAP027,TWMF,4 - Tar and Tin,pdf p. 52,campus,University production zone,,economy_program,"The Medica, alchemy complex, and Artificery are major production nodes exporting medicines, alchemical materials, and crafted devices.",Tier 1,"""The Medica made medicines""",These buildings are not decorative; they are working production centers tied to trade.,,source_logged,Useful for city logistics and loading areas.
UMAP028,TWMF,4 - Tar and Tin,pdf p. 52,room,the Stocks,the Fishery,subarea,The Stocks are the storeroom where artificers sign out tools and materials.,Tier 1,"""the Stocks, the storeroom""",The Fishery includes a formal issue window or materials counter.,,source_logged,Needed for Fishery sublayout.
UMAP029,TWMF,4 - Tar and Tin,pdf p. 56,subterranean,Underthing,University,access,Auri leads Kvothe down through an iron drainage grate into the tunnel sprawl beneath the University.,Tier 1,"""iron drainage grate""",At least one surface grate connects the campus to the Underthing.,,source_logged,Strong access point evidence.
