source_id,book,chapter,page_ref,location_scope,primary_location,secondary_location,evidence_type,constraint_statement,certainty_tier,paraphrase,negative_constraint,contradiction_note,status,notes
CRY001,Magician,,pdf p. 11,building,Castle Crydee,,naming,Castle Crydee contains a keep.,Tier 1,A named keep exists within Castle Crydee.,,,source_logged,Strong foundational anchor for the project.
CRY002,Magician,,pdf p. 12,building,Castle Crydee,,defensive_shell,Castle Crydee has walls and towers staffed by guards during severe weather.,Tier 1,The castle shell includes walls and towers that matter operationally.,,,source_logged,Useful for outer-shell planning.
CRY003,Magician,,pdf p. 25,site,Castle Crydee,town below,adjacency_and_elevation,Preparations occur throughout the keep and the town below.,Tier 1,The castle and town are vertically or topographically distinct rather than one flat merged settlement.,,,source_logged,Important site-relationship clue.
CRY004,Magician,,pdf p. 7,site,Castle Crydee,stables,access_edge,A wall behind the stables is a recognizable route or boundary edge.,Tier 2,The stable side includes an exterior wall that can be used as a movement anchor.,,,source_logged,Keep as likely service-edge evidence.
CRY005,Magician,,pdf p. 44-46,room,great hall,Castle Crydee,program,The Duke holds court in the great hall.,Tier 1,The great hall is a major public and noble function room.,,,source_logged,Major interior anchor.
CRY006,Magician,,pdf p. 44,site,courtyard gate,Castle Crydee,access_sequence,A courtyard gate leads into the active castle grounds.,Tier 1,The castle includes a courtyard-gate movement sequence.,,,source_logged,Good circulation anchor.
CRY007,Magician,,pdf p. 159,route,kitchen,great hall,adjacency,A long corridor connects the kitchen and the great hall.,Tier 1,The kitchen and great hall are linked directly by a service corridor.,,,source_logged,High-value internal circulation clue.
CRY008,Magician,,pdf p. 250,building,Castle Crydee,west wall,defensive_orientation,Castle Crydee has a west wall with battlements under attack.,Tier 1,A named west wall and battlements exist and should be preserved as orientation anchors.,,,source_logged,Potentially critical for later directionality.
CRY009,Magician,,pdf p. 19-20,courtyard,courtyard,keep,ceremonial_use,The boys gather in the courtyard for the Choosing and it functions as a large public gathering space inside the castle.,Tier 1,The courtyard must be large enough for formal assemblies and processions.,,,source_logged,Supports a broad central court rather than a token pocket yard.
CRY010,Magician,,pdf p. 20,upper_level,balcony,courtyard,overlook,The Duke's Herald comes onto a balcony overlooking the courtyard.,Tier 1,A balcony or upper watch position must overlook the courtyard from the keep or gate side.,,,source_logged,Useful for an upper walkable layer.
CRY011,Magician,,pdf p. 20,gate,great gate,courtyard,access_detail,A guard opens the small door in the great gate for the Craftmasters.,Tier 1,The main gate sequence includes a smaller postern or wicket within the larger gate structure.,,,source_logged,Strong justification for two exterior openings at the gate.
CRY012,Magician,,pdf p. 20,keep_front,keep,courtyard,elevation_and_threshold,The Craftmasters stand at the foot of the broad stairs of the keep and the large oaken doors swing outward.,Tier 1,The keep presents a stair-and-door threshold facing the courtyard.,,,source_logged,Major front-of-keep circulation clue.
CRY013,Magician,,pdf p. 43,gate_tower,gate tower,castle approach,watch_post,A shout goes up from the gate tower when the wounded Princess returns and guards run out.,Tier 1,A gate tower lookout exists and is operationally tied to rapid guard response.,,,source_logged,Supports an accessible upper gate walk or tower base.
CRY014,Magician,,pdf p. 56,garden,Princess's flower garden,side of keep,adjacency_and_screening,Pug climbs three steps to the Princess's small flower garden at the side of the keep and hedges mask most of the courtyard from sight.,Tier 1,A small raised flower garden exists on the side of the keep and is screened from most of the courtyard.,,,source_logged,Supports a side-garden room with steps and a bench.
CRY015,Magician,,pdf p. 56,garden,Princess's flower garden,high walls,visibility,From the garden Pug can still see the tops of the high walls and guards on the parapets.,Tier 1,The garden sits within visual reach of the castle walls and parapets.,,,source_logged,Important for keeping the garden inside the main defensive shell.
CRY016,Magician,,pdf p. 26,tower,magician's tower,kitchen,route_logic,Pug's room in the northmost tower provides him with a shortcut through the kitchen rather than the main doors of the keep.,Tier 1,The northmost magician's tower should connect naturally to the kitchen-service side of the keep.,,,source_logged,High-value tower placement clue.
CRY017,Magician,,pdf p. 53-57-70,room,council chamber,ducal keep,program,The Duke repeatedly gathers key figures in the council chamber.,Tier 1,The keep includes a dedicated council chamber separate from the great hall.,,,source_logged,Strong justification for a deeper keep room beyond the hall.
CRY018,Magician,,pdf p. 55,route,private quarters,kitchen and storage route,adjacency,The Duke and his sons turn through a door to their private quarters while the boys cut through a storage room into the kitchen.,Tier 1,Private quarters branch off the keep circulation near a storage-to-kitchen route.,,,source_logged,Useful for the southern keep and east service spine.
CRY019,Magician,,pdf p. 25,room,guard barracks,Castle Crydee,program,Tomas leaves in the direction of the guard barracks.,Tier 1,Guard barracks exist as a distinct destination within the castle grounds.,,,source_logged,Supports a west-side garrison block.
CRY020,Magician,,pdf p. 50,room,armory,Castle Crydee,program,Arutha tells Tomas to fetch a sword from the armory.,Tier 1,An armory exists as an accessible support room within the castle.,,,source_logged,Pairs naturally with the barracks wing.
CRY021,Magician,,pdf p. 12 and p. 26,sublevel,cellars,kitchen,storage_function,Kitchen stores are kept in the cellars and giant barrels of ale are hauled out for feasts.,Tier 1,The castle needs cellar storage tied to the kitchen-service network.,,,source_logged,Strong case for a playable cellar level.
CRY022,Magician,,pdf p. 229,sublevel,cellars,castle refuge,refuge_use,Princess Carline is ordered back to the cellars during the siege instead of staying on the walls.,Tier 1,The cellars also function as a refuge space, not only pantry storage.,,,source_logged,Supports a second cellar room with shelter logic.
CRY023,Magician,,pdf p. 242 and p. 247,wall,east wall,broad clearing,defensive_orientation,The east wall is named and a broad clearing runs along it while west-wall attacks distract defenders.,Tier 1,The east wall is a meaningful orientation anchor distinct from the west wall.,,,source_logged,Important for later siege-state directional planning.
