location_id,building_or_room_name,book,chapter,evidence_type,paraphrased_evidence,what_this_proves,confidence,related_locations,contradictions_or_open_questions
IMRE,Imre,NOTW,35,arrival / settlement context,"Kvothe arrives in Imre with the caravan at sunset, then leaves the wagons to go on alone.",Direct: Imre is the first settlement reached before the University proper. Inference: It functions as a gateway/arrival point for travellers coming in by road.,A,UNIVERSITY,None.
IMRE_TO_UNIVERSITY,Route from Imre to the University,NOTW,36,directional / travel,"After sleeping outside Imre, Kvothe wakes, washes in a nearby stream, and walks west to the University.",Direct: The University lies west of Imre. Inference: The main approach corridor from Imre runs east-west.,A,"IMRE, UNIVERSITY, OMETHI, STONEBRIDGE",None.
STONEBRIDGE,Old stone bridge over the Omethi,NOTW,36,architecture / adjacency / environmental,"The road crosses the Omethi on an ancient stone bridge, over 200 feet long and wide enough for two wagons abreast, spanning a canyon cut into rock.","Direct: A major bridge sits on the route between Imre and the University; the river crossing is substantial, not minor. Inference: This is a fixed chokepoint on approach.",A,"OMETHI, IMRE, UNIVERSITY, ARCHIVES",The bridge is not explicitly named here.
OMETHI,Omethi River canyon,NOTW,36,environmental / topography,The Omethi has carved a rocky canyon between Imre and the University approach.,Direct: The river is a real terrain barrier. Inference: Elevation and canyon topography matter for movement and sightlines.,A,"STONEBRIDGE, IMRE, UNIVERSITY",None.
ARCHIVES,The Archives (seen from approach),NOTW,36,sightline / exterior massing,"From the crest of the bridge, Kvothe first sees the Archives rising over the trees to the west like a huge greystone.",Direct: The Archives are visible from the bridge and large enough to dominate the skyline. Inference: They are one of the most prominent massed structures on campus.,A,"STONEBRIDGE, UNIVERSITY",None.
UNIVERSITY_TOWN,Town around / serving the University,NOTW,36,urban layout / environmental,"The University sits in a small city or town with wide roads, clean air, lawns, gardens, and specialist trades such as apothecaries, binderies, booksellers, and glassblowers.","Direct: The University is embedded in a service settlement with low-density, spread-out layout. Inference: This is a purpose-shaped academic support town, not a dense medieval city core.",B,"UNIVERSITY, IMRE","Open question: whether this town description is simply Imre, or a distinct University-side settlement."
UNIVERSITY,University complex (general),NOTW,36,scale / campus composition,Kvothe says the University itself consists of about fifteen buildings that do not resemble each other much.,Direct: The University is a multi-building campus of roughly fifteen structures. Inference: It grew organically rather than from one unified architectural plan.,A,"MAINS, MEWS, HOLLOWS, ARCHIVES",“About fifteen” is approximate.
MEWS,Mews (exterior form),NOTW,36,architecture / plan form,"Mews has a circular central hub with eight wings radiating out, like a compass rose.",Direct: Mews has a radial plan with a central core and eight wings. Inference: Navigation and room distribution likely follow wing-based organisation.,A,UNIVERSITY,Floor count not given here; later evidence implies at least four floors.
HOLLOWS,Hollows (exterior),NOTW,36,architecture / windows,"Hollows is simple and square, with stained-glass windows showing Teccam teaching from the mouth of a cave.",Direct: Hollows is square and definitely windowed with stained glass. Inference: It has a more formal or symbolic façade than purely utilitarian buildings.,A,UNIVERSITY,Exact size beyond “simple” not stated.
MAINS,Mains (exterior massing),NOTW,36,architecture / footprint,Mains covers nearly an acre and a half and looks as if it was cobbled together from smaller mismatched buildings.,Direct: Mains has very large footprint and composite growth pattern. Inference: Internal circulation is likely irregular because of accreted construction.,A,UNIVERSITY,None.
ARCHIVES_ENTRY,Archives entrance and antechamber,NOTW,36,entrance / access / internal layout,"The Archives have one massive pair of stone doors. Inside is a small antechamber with grey stone walls, sympathy lamps, a large desk with ledgers, and three controlled access points: TOMES, STACKS, and a smaller SCRIVS ONLY door.","Direct: The Archives have a single formal entrance, a staffed checkpoint, and clearly separated internal zones. Inference: Access is controlled before anyone reaches books proper.",A,"ARCHIVES, TOMES, STACKS, SCRIVS_ONLY",None.
ARCHIVES_ACCESS,Archives access rule,NOTW,36,access / public-private control,"The desk attendant refuses entry until Kvothe is “in the book,” meaning recorded in the ledgers after admissions.",Direct: Entry is restricted by ledger registration. Inference: The antechamber functions as a gatekeeping checkpoint rather than a casual lobby.,A,"ARCHIVES_ENTRY, TOMES, STACKS",None.
ARCHIVES_TO_HOLLOWS,Route from Archives to Hollows,NOTW,36,directional / adjacency,"The desk attendant directs Kvothe to Hollows by saying “down, then left,” describing it as the short building with coloured windows and two big maples outside.",Direct: Hollows is reached from the Archives by a specific short route and is identifiable by stained glass and twin maples. Inference: Hollows lies lower or farther down the grade from the Archives.,B,"ARCHIVES, HOLLOWS",“Down” may be literal downhill or simply along the way.
HOLLOWS_ADMISSIONS,Hollows admissions theatre,NOTW,36,interior / room function / hierarchy,"Kvothe enters an empty theatre in Hollows, climbs onto a stage, and faces a raised crescent-shaped masters’ table in a dark room lit mainly around that table.","Direct: Hollows contains a theatre-like ceremonial room used for admissions. Inference: The room is designed to reinforce authority through elevation, staging, and controlled lighting.",A,"HOLLOWS, MASTERS",Open question: whether this is the same room later used as Masters’ Hall.
HOLLOWS_BACK_ENTRY,Hollows back entrance,NOTW,36,access / circulation,Kvothe later reveals he had previously sneaked into Hollows through a back entrance and picked two locks to watch other interviews.,"Direct: Hollows has at least one back entrance, and access can be partitioned by locked internal routes. Inference: The building has multiple circulation paths, not just a single public front entrance.",A,HOLLOWS_ADMISSIONS,Exact location of the back entrance is not given.
BURSAR_BUILDING,Bursar’s office building,NOTW,37,architecture / circulation,"Lorren leads Kvothe across a courtyard, into another stone building, through a hallway, and down a flight of stairs to the bursar.","Direct: The bursar is housed in a separate stone building reached via courtyard, hall, and stairs. Inference: Some administrative offices are below entry level or basement-adjacent.",A,"COURTYARD, UNIVERSITY_ADMIN",Building is not named.
MEWS_LODGING,Mews student lodging,NOTW,37,floor layout / access / residential use,"Simmon leads Kvothe to Mews; non-Arcanum bunks are on the fourth floor of the east wing, farthest from bathing facilities on the ground floor.",Direct: Mews has at least four floors; east wing houses non-Arcanum bunks; baths are on ground floor. Inference: Wing and rank/status affect housing allocation.,A,"MEWS, BATHING_FACILITIES",None.
MESS,Mess,NOTW,37,adjacency / architecture / function,Simmon points to the Mess across the lawn from Mews and describes it as where three meals a day are served; inside are large plank tables seating about two hundred students.,Direct: Mess is a separate dining building across lawn from Mews; it is large communal dining space. Inference: Mews and Mess are closely linked in daily student circulation.,A,"MEWS, UNIVERSITY_LAWN",None.
MAINS,Mains (interior circulation),NOTW,38,corridors / adjacency / navigation,"Mains is described as the oldest building, spread in all directions, swallowing smaller buildings and courtyards. Hallways turn oddly, dead-end, and take rambling routes; nearby rooms can still take twenty minutes to reach.","Direct: Mains is labyrinthine and internally inefficient. Inference: Its plan is heavily accreted, with irregular circulation and absorbed substructures.",A,"COURTYARDS, WORKROOMS, LECTURE_HALLS",None.
MAINS_COURTYARD,Isolated courtyard inside/within Mains,NOTW,38,adjacency / access,At least one courtyard has become fully isolated and can only be accessed by climbing through a window.,Direct: Some courtyard spaces are now cut off from normal corridor access. Inference: Mains has trapped or vestigial pockets from earlier building phases.,A,MAINS,“At least one” leaves exact number unknown.
MAINS_CLASSROOM,Lecture theatre in Mains,NOTW,38,room function / interior form,"Kvothe’s first class room in Mains is like a small theatre, with tiered semicircular seating around a small raised stage and a large stone worktable on the stage.",Direct: Mains contains theatre-style teaching rooms. Inference: At least some classes are taught in demonstration-focused lecture spaces rather than flat classrooms.,A,"MAINS, HEMME_CLASS",None.
MASTERS_HALL,Masters’ Hall,NOTW,40,room function / interior / access,"A runner summons Kvothe from the Mess; Sim leads him roughly toward Hollows; Jamison meets him there and escorts him into a large windowless room with a familiar crescent-shaped table, but this time not elevated.","Direct: Masters’ Hall is a large windowless room reached via Hollows/Jamison route and furnished around a crescent table. Inference: It may be in Hollows or adjacent to it, but the text does not state that cleanly enough to lock it down.",B,"HOLLOWS, JAMISON, MESS","Open question: same building as Hollows, or just accessed through that direction/zone."
MEDICA,Medica,NOTW,41,adjacency / architecture / function,"Wilem says Medica is on the other side of the Archives. Kvothe then sees it: a large, oddly shaped building, like a taller, less rambling version of Mains. It also tends the sick, not just students, and allows debts to be worked off after recovery.","Direct: Medica sits across/around the Archives from one courtyard approach and is a substantial building with both teaching and treatment roles. Inference: It is a major campus institution, not a small infirmary.",A,"ARCHIVES, COURTYARD","“Other side” depends on starting point and is relative, not compass-fixed."
ARCHIVES_ENTRY_HALL,Archives entrance hall under Ambrose/Fela,NOTW,43,access / threshold zone,Kvothe calls the place the “entrance hall of the Archives”; Ambrose and Fela work at the entry desk; Tomes access can be given there; people can be turned away before reaching the stacks.,"Direct: The entry hall is an active staffed threshold space, not merely a doorway. Inference: Tomes and Stacks permissions can be managed differently from the same checkpoint.",A,"ARCHIVES_ENTRY, TOMES, STACKS",None.
STACKS_ACCESS,Stack fee and lighting rules,NOTW,43-44,access / restrictions / environmental,"Ambrose tells Kvothe there is a stack fee, that Stacks access is distinct from Tomes, and that the Stacks are not lit because of size and concern for books; users normally take hand lamps from the desk.","Direct: Stack access is separately controlled and users need portable light. Inference: Darkness is a built-in condition of the Stacks, shaping navigation and supervision.",A,"ARCHIVES_ENTRY, TOMES, STACKS","Ambrose lies elsewhere, but Manet later confirms the hand-lamp sign-out practice, so the lighting/access point is solid."
STACKS,Stacks interior,NOTW,43,environmental / vertical layout / internal rooms,"Inside the Stacks, Kvothe finds total darkness without windows, cool dry air, endless shelving, stairwells going up and down, and small stone rooms with heavy wooden doors for quiet group work. The Archives is six stories tall and also extends underground.","Direct: The Stacks are vast, unlit, windowless, vertically multi-level, and extend below ground; they also contain enclosed discussion rooms. Inference: The public-facing entry space reveals only a small portion of the building’s true depth.",A,"ARCHIVES, READING_ROOMS, STAIRWELLS",Exact underground depth is unknown.
FOUR_PLATE_DOOR,Four-plate door in the Archives,NOTW,43,door architecture / restricted access,"Kvothe finds a seamless grey stone door and frame, flush with the wall, with no hinges or handle and four copper plates with unusual keyholes. It bears the word “VALARITAS.”",Direct: There is an extraordinary high-security stone-and-copper door inside the Archives. Inference: It protects a specially restricted zone beyond ordinary locked rooms.,A,"STACKS, ARCHIVES",Location within the Stacks is not precisely mapped.
